terminalName,name,city,state,GeoPoint,nbDocks,Median Age,Male Population,Female Population,Total Population,Average Household Size,mean duration,total count,total % member,median duration member,median duration casual,most frequent station,second most frequent station,third most frequent station,monday count,monday % member,tuesday count,tuesday % member,wednesday count,wednesday % member,thursday count,thursday % member,friday count,friday % member,saturday count,saturday % member,sunday count,sunday % member,09h-17h count,09h-17h % member,00h-03h count,00h-03h % member,03h-06h count,03h-06h % member,06h-09h count,06h-09h % member,09h-12h count,09h-12h % member,12h-15h count,12h-15h % member,15h-18h count,15h-18h % member,18h-21h count,18h-21h % member,21h-00h count,21h-00h % member,jan count,jan % member,feb count,feb % member,mar count,mar % member,apr count,apr % member,may count,may % member,jun count,jun % member,jul count,jul % member,aug count,aug % member,sep count,sep % member,oct count,oct % member,nov count,nov % member,dec count,dec % member,cluster_labels
31000,Eads St & 15th St S,Arlington,Virginia,POINT(-77.05323 38.858971000000004),15.0,34.4,113981.0,115183.0,229164.0,2.19,1615.3523718864033,6303.0,64.01713469776297,407.0,2009.0,31000.0,31005.0,31249.0,873.0,72.16494845360825,889.0,75.25309336332958,1008.0,71.13095238095238,881.0,71.7366628830874,806.0,71.58808933002481,915.0,40.983606557377044,931.0,46.72395273899034,3164.0,57.774968394437415,104.0,55.769230769230774,71.0,67.6056338028169,1147.0,79.33740191804708,1384.0,60.765895953757216,1029.0,51.99222546161322,1219.0,63.57670221493028,1007.0,64.54816285998014,342.0,63.74269005847953,185.0,83.24324324324324,199.0,71.85929648241206,374.0,63.101604278074866,630.0,51.42857142857142,607.0,56.17792421746294,785.0,61.40127388535032,805.0,62.2360248447205,740.0,61.081081081081074,730.0,67.12328767123286,600.0,64.33333333333333,414.0,78.50241545893721,234.0,85.8974358974359,cluster_6
31001,18th St & S Eads St,Arlington,Virginia,POINT(-77.05332 38.85725),9.0,34.4,113981.0,115183.0,229164.0,2.19,1282.9679633867274,7429.0,75.97254004576659,626.0,1669.0,31249.0,31005.0,31006.0,1056.0,78.59848484848484,1014.0,83.43195266272191,1008.0,82.24206349206351,1024.0,79.39453125,1021.0,79.62781586679726,1159.0,66.26402070750646,1147.0,64.95204882301657,3314.0,69.43270971635485,120.0,78.33333333333333,95.0,87.36842105263159,1180.0,85.84745762711864,1182.0,67.93570219966159,1277.0,67.81519185591229,1488.0,76.07526881720429,1649.0,80.89751364463311,438.0,72.8310502283105,257.0,87.9377431906615,303.0,83.4983498349835,478.0,75.31380753138075,669.0,70.254110612855,803.0,70.85927770859277,767.0,73.14211212516297,990.0,68.38383838383838,759.0,77.2068511198946,798.0,80.20050125313283,713.0,77.55960729312763,541.0,80.40665434380776,351.0,89.45868945868946,cluster_4
31002,Crystal Dr & 20th St S,Arlington,Virginia,POINT(-77.04923199999999 38.856425),15.0,34.4,113981.0,115183.0,229164.0,2.19,1408.4119054090784,18395.0,74.53655884751291,806.0,1746.5,31249.0,31008.0,31009.0,2621.0,81.3429988553987,2817.0,85.48100816471423,2841.0,84.33650123196058,2712.0,83.33333333333334,2558.0,77.79515246286161,2408.0,51.57807308970099,2438.0,52.6251025430681,8425.0,65.79228486646885,115.0,65.21739130434783,66.0,83.33333333333334,2510.0,91.91235059760956,2217.0,57.41993685160126,3242.0,64.18877236273907,5737.0,78.56022311312532,3864.0,77.58799171842651,644.0,64.44099378881988,489.0,83.23108384458078,715.0,80.0,1181.0,75.61388653683319,1820.0,74.01098901098902,1873.0,73.67859049652962,2137.0,72.25081890500702,2298.0,70.06092254134029,2215.0,74.17607223476298,2058.0,74.00388726919337,1845.0,73.87533875338755,1066.0,80.1125703564728,698.0,82.378223495702,cluster_4
31003,Crystal Dr & 15th St S,Arlington,Virginia,POINT(-77.049593 38.860170000000004),10.0,34.4,113981.0,115183.0,229164.0,2.19,1459.1248334073746,15757.0,68.48384844830869,479.0,1834.0,31011.0,31003.0,31249.0,2382.0,72.83795130142737,2369.0,78.0498100464331,2481.0,77.62998790810155,2267.0,78.16497573886193,2194.0,73.97447584320875,2016.0,47.32142857142857,2048.0,45.5078125,8572.0,63.695753616425584,100.0,44.0,36.0,66.66666666666666,1842.0,80.83604777415853,2624.0,59.52743902439024,3206.0,60.449157829070494,4703.0,74.29300446523496,2671.0,69.00037439161363,575.0,69.04347826086956,467.0,88.0085653104925,619.0,81.90630048465265,1027.0,75.75462512171373,1658.0,56.332931242460795,1546.0,66.17076326002588,1831.0,66.57564172583288,1951.0,63.81342901076371,1940.0,66.8041237113402,1633.0,64.60502143294549,1456.0,68.95604395604396,973.0,77.90339157245631,656.0,85.51829268292683,cluster_6
31004,Aurora Hills Cmty Ctr / 18th St & S Hayes St,Arlington,Virginia,POINT(-77.05949 38.857865999999994),11.0,34.4,113981.0,115183.0,229164.0,2.19,531.0663721825802,8829.0,94.3481708007702,205.0,1610.0,31005.0,31006.0,31008.0,1361.0,96.54665686994856,1470.0,97.00680272108843,1451.0,96.69193659545141,1432.0,96.85754189944134,1368.0,93.78654970760236,1011.0,87.73491592482691,736.0,85.59782608695652,3799.0,92.44538036325348,11.0,72.72727272727273,17.0,94.11764705882351,2818.0,98.43860894251242,1772.0,95.48532731376976,1211.0,89.59537572254334,1419.0,91.33192389006342,1425.0,92.0,156.0,94.87179487179485,461.0,98.91540130151844,566.0,97.70318021201412,651.0,95.85253456221196,859.0,94.29569266589056,903.0,91.3621262458472,830.0,92.40963855421688,809.0,94.6847960444994,915.0,92.45901639344262,821.0,93.54445797807553,855.0,92.28070175438594,632.0,96.04430379746836,527.0,98.4819734345351,cluster_4
31005,Pentagon City Metro / 12th St & S Hayes St,Arlington,Virginia,POINT(-77.059936 38.862303000000004),17.0,34.4,113981.0,115183.0,229164.0,2.19,1001.6409981218138,22362.0,78.42321795903764,343.0,1563.0,31004.0,31091.0,31007.0,3437.0,82.8047716031423,3492.0,84.47880870561283,3638.0,85.12919186366136,3545.0,84.65444287729196,3195.0,80.43818466353677,2565.0,62.651072124756325,2490.0,58.87550200803213,9430.0,70.06362672322375,239.0,75.73221757322177,96.0,79.16666666666666,1975.0,92.60759493670885,2941.0,73.51241074464467,3383.0,64.38072716523794,6378.0,80.30730636563186,5416.0,81.49926144756276,1934.0,81.4374353671148,814.0,91.03194103194105,1006.0,86.97813121272365,1431.0,80.083857442348,1987.0,74.68545546049322,2250.0,73.33333333333333,2448.0,77.08333333333334,2834.0,72.93577981651377,2716.0,73.15905743740795,2313.0,77.25897103329011,2053.0,83.53628835849976,1427.0,86.33496846531185,1083.0,89.19667590027703,cluster_4
31006,Army Navy Dr & S Joyce St,Arlington,Virginia,POINT(-77.0633 38.8637),13.0,34.4,113981.0,115183.0,229164.0,2.19,1142.1364770459081,12024.0,76.02295409181636,533.0,1430.0,31001.0,31006.0,31011.0,1611.0,80.13656114214773,1663.0,82.92242934455803,1663.0,81.4792543595911,1560.0,79.55128205128204,1496.0,81.55080213903744,1985.0,66.34760705289673,2046.0,65.39589442815249,5263.0,70.24510735322059,233.0,78.11158798283262,80.0,77.5,1771.0,92.60304912478827,1845.0,73.71273712737127,2052.0,68.76218323586744,2308.0,70.8838821490468,2663.0,77.65677806984603,1072.0,72.94776119402985,464.0,88.36206896551724,498.0,86.54618473895582,859.0,78.57974388824212,1165.0,72.01716738197425,1210.0,74.46280991735537,1295.0,74.98069498069498,1442.0,70.31900138696254,1354.0,72.67355982274741,1325.0,75.54716981132076,1158.0,77.28842832469776,791.0,79.39317319848293,463.0,84.66522678185746,cluster_4
31007,Crystal City Metro / 18th St & S Bell St,Arlington,Virginia,POINT(-77.05113172531128 38.857404962615036),19.0,34.4,113981.0,115183.0,229164.0,2.19,781.5070794512508,27262.0,86.5967280463649,302.0,1235.5,31009.0,31011.0,31012.0,4682.0,90.00427167876974,4929.0,91.90505173463177,5049.0,91.89938601703308,4835.0,92.306101344364,4156.0,89.79788257940329,1816.0,53.964757709251096,1795.0,58.44011142061282,9773.0,81.84794842934616,282.0,72.3404255319149,48.0,77.08333333333334,6740.0,97.16617210682492,3686.0,84.94302767227346,2715.0,75.06445672191529,6876.0,86.35834787667248,5275.0,85.38388625592417,1640.0,73.59756097560975,1358.0,94.10898379970543,1317.0,94.83675018982537,2129.0,89.19680601221229,2956.0,78.89039242219215,2801.0,84.61263834344876,2854.0,84.86334968465313,2735.0,79.59780621572212,2643.0,88.00605372682556,2667.0,84.10198725159356,2552.0,88.67554858934167,1909.0,92.4044002095338,1341.0,95.82401193139448,cluster_4
31009,Crystal Dr & 27th St S,Arlington,Virginia,POINT(-77.051514 38.848465999999995),11.0,34.4,113981.0,115183.0,229164.0,2.19,1002.0140580461259,15436.0,77.40995076444675,322.0,1479.0,31007.0,31002.0,31010.0,2422.0,82.70024772914947,2709.0,84.90217792543375,2869.0,84.73335657023351,2644.0,85.89258698940998,2265.0,81.23620309050774,1278.0,41.627543035993746,1249.0,45.79663730984787,6786.0,71.61803713527851,96.0,43.75,76.0,61.842105263157904,1736.0,80.47235023041475,2444.0,64.44353518821603,2229.0,74.11395244504261,5471.0,85.43227929080606,2970.0,78.31649831649831,414.0,57.00483091787439,671.0,93.2935916542474,763.0,90.956749672346,1223.0,83.56500408830743,1549.0,73.33763718528083,1554.0,75.99742599742599,1692.0,74.46808510638297,1684.0,64.42992874109264,1534.0,71.64276401564537,1532.0,78.45953002610966,1528.0,76.17801047120419,1024.0,84.375,682.0,90.32258064516128,cluster_6
31010,S Glebe Rd & Potomac Ave,Arlington,Virginia,POINT(-77.0502 38.8426),11.0,34.4,113981.0,115183.0,229164.0,2.19,1143.5173173526046,11347.0,78.31144795981318,704.0,1397.0,31009.0,31011.0,31010.0,1422.0,80.37974683544303,1587.0,85.5072463768116,1611.0,86.77839851024208,1532.0,86.16187989556136,1454.0,79.98624484181569,1797.0,66.7779632721202,1944.0,67.12962962962963,5650.0,74.17699115044249,137.0,75.91240875912408,201.0,97.51243781094529,1360.0,92.2058823529412,1742.0,73.88059701492537,2305.0,74.49023861171366,2655.0,76.7984934086629,2297.0,77.27470613844146,650.0,79.07692307692308,363.0,93.38842975206612,444.0,89.86486486486488,724.0,81.353591160221,1113.0,72.14734950584007,1259.0,72.99444003177125,1290.0,78.99224806201549,1540.0,72.14285714285714,1287.0,79.17637917637917,1198.0,76.46076794657762,1048.0,81.58396946564883,682.0,83.13782991202345,399.0,87.71929824561403,cluster_4
